img,title,price,product_link
http://www.bornprettystore.com/images/ProPho/4866/dsc.jpg,Christmas Santa Design Nail Art Stamp Templat...,USD $1.99,http://www.bornprettystore.com/christmas-santa-design-nail-stamp-template-qa19-p-4866.html
http://www.bornprettystore.com/images/ProPho/2859/dsc.jpg,1 bag 2mm silver square stud rhinestone Acryl...,USD $4.58,http://www.bornprettystore.com/silver-square-stud-rhinestone-acrylic-nail-p-2859.html
http://www.bornprettystore.com/images/ProPho/442/dsc.jpg,5x 2 way Pink DOTTING Pen Marbleizing Tool Na...,USD $4.74,http://www.bornprettystore.com/pink-dotting-marbleizing-tool-nail-p-442.html
http://www.bornprettystore.com/images/ProPho/1371/dcs.jpg,100cm Elegant Silver Beads Line Chain Nail Ar...,USD $5.61,http://www.bornprettystore.com/100cm-elegant-silver-beads-line-chain-nail-decoration-p-1371.html
http://www.bornprettystore.com/images/ProPho/6733/dsc.jpg,1sheet Fancy Colorful Feather Eyes French Edg...,USD $2.86,http://www.bornprettystore.com/1sheet-fancy-colorful-feather-eyes-french-edge-nail-water-decals-sticker-transfer-stickers-b105b10-p-6733.html
http://www.bornprettystore.com/images/ProPho/285/dsc.jpg,New French Manicure Tip Guides Strip Nail Art...,USD $0.99,http://www.bornprettystore.com/french-manicure-guides-strip-nail-toes-p-285.html
http://www.bornprettystore.com/images/ProPho/160/dsc.jpg,5pcs Fancy Feather Nail Art Decoration-12 col...,USD $0.99,http://www.bornprettystore.com/5pcs-fancy-feather-nail-decoration-colors-p-160.html
http://www.bornprettystore.com/images/ProPho/5695/sdc.JPG,1pc Nail Art Stamp Template Cute Snowflake De...,USD $2.09,http://www.bornprettystore.com/nail-stamp-template-cute-snowflake-design-qa58-p-5695.html
http://www.bornprettystore.com/images/ProPho/2134/dsc.jpg,Ring Easy Stretch Bling Crystal Extensible Ri...,USD $0.99,http://www.bornprettystore.com/ring-easy-stretch-bling-crystal-extensible-ring-finger-ring-p-2134.html
http://www.bornprettystore.com/images/ProPho/1073/dsc.jpg,New Spot Design Nail Art Stamp Template-m79,USD $2.09,http://www.bornprettystore.com/spot-design-nail-stamp-template-p-1073.html
http://www.bornprettystore.com/images/ProPho/465/dsc.jpg,4 pcs Acrylic Uv Gel Nail Art Paint Drawing B...,USD $3.51,http://www.bornprettystore.com/acrylic-nail-paint-drawing-brush-p-465.html
http://www.bornprettystore.com/images/ProPho/5502/dsc.jpg,10ml High Quality Nail Art Template Stamping ...,USD $4.19,http://www.bornprettystore.com/10ml-high-quality-nail-template-stamping-polish-varnish-p-5502.html
http://www.bornprettystore.com/images/ProPho/10181/dsc.jpg,20Pcs 3mm/5mm Shiny Mini Metal Shell Design S...,USD $1.59,http://www.bornprettystore.com/20pcs-3mm5mm-shiny-mini-metal-shell-design-stud-nail-decoration-p-10181.html
http://www.bornprettystore.com/images/ProPho/1075/dsc.jpg,New Butterfly Nail Art Stamp Template-m78,USD $2.99,http://www.bornprettystore.com/butterfly-nail-stamp-template-p-1075.html
http://www.bornprettystore.com/images/ProPho/456/dsc.jpg,12 Color 3D Steel Ball Caviar Beads Manicure ...,USD $3.33,http://www.bornprettystore.com/color-steel-ball-caviar-beads-manicure-nail-glitter-decoration-p-456.html
http://www.bornprettystore.com/images/ProPho/4903/dsc(3).jpg,12pcs Cute Design Water Decals Nail Art Stick...,USD $1.59,http://www.bornprettystore.com/12pcs-cute-design-water-decals-nail-stickers-decoration-manicure-patterns-p-4903.html
http://www.bornprettystore.com/images/ProPho/1076/dsc.jpg,Four Style Design Nail Art Stamp Template-m60,USD $2.09,http://www.bornprettystore.com/four-style-design-nail-stamp-template-p-1076.html
http://www.bornprettystore.com/images/ProPho/6542/dsc.jpg,1pc Prefect French Manicure Edge Tip Guides S...,USD $0.99,http://www.bornprettystore.com/prefect-french-manicure-edge-guides-strip-nail-toes-p-6542.html
http://www.bornprettystore.com/images/ProPho/24/dsc.jpg,3pcs Nail Art Brush Ongle Liner Drawing Line ...,USD $2.99,http://www.bornprettystore.com/3pcs-nail-brush-ongle-liner-drawing-line-paint-p-24.html
http://www.bornprettystore.com/images/ProPho/4904/dsc.jpg,Cool Skull Halloween Flower Water Decals Nail...,USD $0.99,http://www.bornprettystore.com/cool-skull-halloween-flower-water-decals-nail-stickers-decoration-p-4904.html
http://www.bornprettystore.com/images/ProPho/6428/dsc.jpg,Headset Anti Dust Ear Cap Plug Stopper Cute C...,USD $2.95,http://www.bornprettystore.com/headset-anti-dust-plug-stopper-cute-cartoon-design-p-6428.html
http://www.bornprettystore.com/images/ProPho/1084/dsc.jpg,New Lovely Heart Stamp Template-m59,USD $2.99,http://www.bornprettystore.com/lovely-heart-stamp-template-p-1084.html
http://www.bornprettystore.com/images/ProPho/12025/dsc.jpg,1Pc Nail Art Stamp Template Exquisite Arabesq...,USD $2.99,http://www.bornprettystore.com/nail-stamp-template-exquisite-arabesque-floral-pattern-qa65-p-12025.html
http://www.bornprettystore.com/images/ProPho/15654/dsc.jpg,1 Sheet Creative French Manicure Wave Edge Ti...,USD $1.58,http://www.bornprettystore.com/sheet-creative-french-manicure-wave-edge-guides-nail-toes-p-15654.html
http://www.bornprettystore.com/images/ProPho/5003/dsc.jpg,Heart Square Round Star Stud Rhinestone Acryl...,USD $3.62,http://www.bornprettystore.com/heart-square-round-star-stud-rhinestone-acrylic-nail-sale-p-5003.html
http://www.bornprettystore.com/images/ProPho/6617/dsc.jpg,Fancy 17m White Stripe Tape Roll Nail Art Edg...,USD $3.99,http://www.bornprettystore.com/fancy-white-stripe-tape-roll-nail-edge-guide-tips-stickers-12cm-width-p-6617.html
http://www.bornprettystore.com/images/ProPho/4526/dsc.jpg,Pro Bottle Gourd Sponge Flawless Foundation B...,USD $2.38,http://www.bornprettystore.com/bottle-gourd-sponge-flawless-foundation-beauty-makeup-powder-puff-blender-p-4526.html
